"address","city","state","zipcode","AUTO_UNIQUE_ID_2019-08-09_cegarza_zillow2","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"2503 Brentwood Dr","Mission","TX","78572",11,"USCGeocoder",124.9974,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2206.17146848592","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2132562093608,-98.2802187739935,"Exact"
"1710 Jonathon Dr","Mission","TX","78572",12,"USCGeocoder",93.757,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","996.041435245425","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1939731902625,-98.3017878679544,"Relaxed"
"4109 Santa Maria St","Mission","TX","78572",13,"USCGeocoder",156.2744,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3622.66273424638","LinearInterpolationAddressRange","StreetSegment","94.3786982248521","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1621021523157,-98.3006204630378,"Relaxed;Soundex"
"403 Venus St","Mission","TX","78572",14,"USCGeocoder",203.1389,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3602.83794031476","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2067582090146,-98.3036854883401,"Exact"
"2431 Christina Ave","Mission","TX","78572",15,"USCGeocoder",125.0303,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4974.3609572741","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2045545525338,-98.2839351655591,"Exact"
"7464 Floyd Dr","Mission","TX","78572",16,"USCGeocoder",203.1719,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1865.75674836722","LinearInterpolationAddressRange","StreetSegment","94.0828402366864","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.244817135886,-98.4152691957154,"Relaxed"
"3900 El Jardin","Mission","TX","78572",17,"USCGeocoder",203.1379,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1078.0803332305","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1715582791583,-98.289074725632,"Relaxed"
"909 Red River St","Mission","TX","78572",18,"USCGeocoder",156.2514,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","780.416090391576","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1938485081301,-98.2971464761014,"Relaxed"
"3706 Bouganvilla St","Mission","TX","78572",19,"USCGeocoder",343.7533,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2808 Santa Esperanza","Mission","TX","78572",20,"USCGeocoder",203.1015,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4020.59183589014","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1733989164964,-98.2901288217277,"Exact"
"1204 Elm St","Mission","TX","78572",21,"USCGeocoder",93.7883,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4195.12106557292","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2164073278787,-98.3112143889297,"Exact"
"3005 Santa Monica","Mission","TX","78572",22,"USCGeocoder",484.3673,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"417 Rio Grande Dr","Mission","TX","78572",23,"USCGeocoder",328.1254,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","573.557392448187","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1879728609773,-98.3005786558115,"Relaxed"
"817 Rankin St","Mission","TX","78572",24,"USCGeocoder",453.1236,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4657.96775862035","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2255630248441,-98.3343570086049,"Exact"
"1715 Palazzo","Mission","TX","78572",25,"USCGeocoder",46.8743,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","8776.14861749858","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.187118666879,-98.3029571160888,"Relaxed"
"3400 Santa Susana St","Mission","TX","78572",26,"USCGeocoder",140.6369,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","747.966334283352","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1689636962816,-98.2990488176861,"Relaxed"
"1818 Crown Pointe Blvd","Mission","TX","78572",27,"USCGeocoder",203.1308,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4381.78305381146","LinearInterpolationAddressRange","StreetSegment","90.3173749327596","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2187523460509,-98.2948814681073,"Relaxed;Soundex"
"2611 Redstone Dr","Mission","TX","78572",28,"USCGeocoder",125.0039,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2057.27792684501","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2035353801067,-98.2816560501196,"Exact"
"3000 San Patricio St","Mission","TX","78572",29,"USCGeocoder",374.9358,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","665.715450413525","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1606976608434,-98.3009229936886,"Relaxed"
"1608 Sebastian St","Mission","TX","78572",30,"USCGeocoder",437.4971,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","844.52866576612","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1960146557669,-98.3036007888691,"Relaxed"
"1005 Berry St","Mission","TX","78572",31,"USCGeocoder",46.8784,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2275.31821595089","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2173824697884,-98.3352775886443,"Exact"
"2600 Sonora Ave","Mission","TX","78572",32,"USCGeocoder",140.6258,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2086.18615236363","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2012312936332,-98.2831031687818,"Exact"
"1205 Travis St","Mission","TX","78572",33,"USCGeocoder",109.4507,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2107 Mauve Dr","Mission","TX","0",34,"USCGeocoder",2046.8743,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","88211552.4836518","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",26.2032950563928,-98.3228200239933,"Relaxed;Soundex"
"1807 Sebastian St","Mission","TX","78572",35,"USCGeocoder",171.8762,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","780.320948973298","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1954352787265,-98.2993601704151,"Relaxed"
"1811 Fairway Cir","Mission","TX","78572",36,"USCGeocoder",218.7362,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","563.672735065222","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.223140812883,-98.3151659739588,"Relaxed"
"1502 Terrace Dr","Mission","TX","78572",37,"USCGeocoder",156.2525,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","99.4674556213018","FeatureClassBased","ReturnAll","","AddressPoint","","","1",26.221376,-98.301683,"Relaxed"
"2605 Tack Dr # 122","Mission","TX","78572",38,"USCGeocoder",156.5644,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1982.40501624078","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2346713106067,-98.3262666647955,"Exact"
"302 N Slabaugh Ave","Mission","TX","78572",39,"USCGeocoder",234.2545,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2537.02788973087","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2092135073254,-98.3314556382714,"Exact"
"1703 Palazzo","Mission","TX","78572",40,"USCGeocoder",546.8579,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1761.52505846135","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1894040032543,-98.3030106191971,"Relaxed"
"2101 Scout Ln","Mission","TX","78572",41,"USCGeocoder",374.9755,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7525.64765494294","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2150169477749,-98.2887667023823,"Exact"
"1406 Terrace Dr","Mission","TX","78572",42,"USCGeocoder",93.7492,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","997.602034661919","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2215149362931,-98.3028625313087,"Relaxed"
"3401 Grand Canal Dr","Mission","TX","78572",43,"USCGeocoder",171.8836,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7230.49618736017","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1701543828866,-98.304483272718,"Exact"
"608 S Castillos Y Diamantes St","Mission","TX","0",44,"USCGeocoder",1765.6094,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","88211552.4836518","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",26.2032950563928,-98.3228200239933,"Relaxed;Soundex"
"2101 Village Dr","Mission","TX","78572",45,"USCGeocoder",62.4966,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","736.674462720752","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2184740622695,-98.2903965163199,"Relaxed"
"510 S Sol Dorado St","Mission","TX","78572",46,"USCGeocoder",125.5767,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","608.964571475983","ArealInterpolationGeometricCentroid","Parcel","91.8579881656805","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2070906526723,-98.3626416767205,"Relaxed"
"1102 Rio Balsas","Mission","TX","78572",47,"USCGeocoder",156.3387,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","344.372858390212","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1921041711164,-98.2968654691365,"Relaxed"
"2104 Loker St","Mission","TX","78572",48,"USCGeocoder",62.4773,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3301.64781674785","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2077712646145,-98.2918022577969,"Exact"
"2703 Santa Olivia St","Mission","TX","78572",49,"USCGeocoder",156.2489,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1058.34748876095","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1753093385401,-98.2988793662354,"Relaxed"
"4110 Santa Veronica St","Mission","TX","78572",50,"USCGeocoder",109.3789,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"1804 Alex Dr","Mission","TX","78572",51,"USCGeocoder",921.8457,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2526.30089520384","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1921752660838,-98.3000278863447,"Exact"
"3206 Santa Laura","Mission","TX","78572",52,"USCGeocoder",218.7495,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","624.334225580096","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1686089215998,-98.2881325705988,"Relaxed"
"109 San Jacinto St","Mission","TX","78572",53,"USCGeocoder",31.2516,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","588.512440577149","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1821657255581,-98.2939099396608,"Relaxed"
"1017 Rio Grande Dr","Mission","TX","78572",54,"USCGeocoder",171.8642,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3205.25529265212","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1831665996536,-98.2926798293782,"Exact"
"2100 Granite Ave","Mission","TX","78572",55,"USCGeocoder",312.4978,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","99.4674556213018","FeatureClassBased","ReturnAll","","AddressPoint","","","1",26.2198204,-98.2847372,"Relaxed"
"2217 Red River Dr","Mission","TX","78572",56,"USCGeocoder",140.6271,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1395.54703074694","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1847229315217,-98.2966893449495,"Relaxed"
"910 Country Club Dr","Mission","TX","78572",57,"USCGeocoder",250.0132,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4467.4592645916","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2202913692092,-98.3145275565798,"Exact"
"2905 San Rodrigo","Mission","TX","78572",58,"USCGeocoder",78.0644,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","779.341400423087","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1706348001789,-98.2999849601286,"Relaxed"
"1015 Burney St","Mission","TX","78572",59,"USCGeocoder",140.6344,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","788.00608528778","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2187783409578,-98.33842319684,"Relaxed"
"1413 Dora Jeanne Dr","Mission","TX","78572",60,"USCGeocoder",218.7282,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","975.712598495185","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2172654010066,-98.3018747475283,"Relaxed"
"1701 E 21st St","Mission","TX","78572",61,"USCGeocoder",281.2458,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7688.40696189957","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2231858840739,-98.2988520864803,"Exact"
"2800 Cassandra St","Mission","TX","78572",62,"USCGeocoder",140.6322,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2221 Red River Dr","Mission","TX","78572",63,"USCGeocoder",125.0068,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1087.37603157759","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1846379362312,-98.2973097180518,"Relaxed"
"2300 Solera","Mission","TX","78572",64,"USCGeocoder",515.4888,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","8559.06337964535","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1787857995156,-98.2953305591807,"Relaxed"
"1606 Toni Ln","Mission","TX","78572",65,"USCGeocoder",250.0199,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","285.358230162412","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2243716134598,-98.2992165582688,"Relaxed"
"210 S Stewart Rd","Mission","TX","78572",66,"USCGeocoder",234.4729,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4217.5446161678","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1997785607156,-98.3040991132297,"Exact"
"2118 Turtle Ln","Mission","TX","78572",67,"USCGeocoder",218.7363,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5355.74076111673","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2218088446828,-98.2906346792846,"Exact"
"201 S Grovewood Ave","Mission","TX","78572",68,"USCGeocoder",281.2349,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"1907 Lake Point Dr","Mission","TX","78572",69,"USCGeocoder",156.2589,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1959.52651669516","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1930484182559,-98.3499640581573,"Exact"
"1608 Audrey Dr","Mission","TX","78572",70,"USCGeocoder",125.0194,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","844.537155255675","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1951569221104,-98.3037466255707,"Relaxed"
"4104 Santa Olivia St","Mission","TX","78572",71,"USCGeocoder",31.2534,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","639.78163061291","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1622895131889,-98.3018620842513,"Relaxed"
"214 Driftwood Ave","Mission","TX","78572",72,"USCGeocoder",203.1239,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4012.04128037638","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2033314151652,-98.2816487651775,"Exact"
