Artist,Song,cluster id,confidence
aramis string quartet,marry you,,
aranda,it aint easy,,
arcade fire,crown of love,,
arcade fire,rebellion (lies),,
architecture in helsinki,escapee,,
arctic monkeys,fluorescent adolescent,,
arctic monkeys,d is for dangerous,,
arctic monkeys,brianstorm,,
arctic monkeys,from the ritz to the rubble,,
arctic monkeys,do i wanna know,,
arctic monkeys,if you were there beware,,
aretha franklin,chain of fools,,
aretha franklin,respect - remastered,13.0,0.9548772573471068
aretha franklin,respect,13.0,0.9548772573471068
ariana grande,the way,,
ariana grande,right there,,
ariana grande,7 rings,,
ariana grande,break free,,
ariana grande,best mistake,,
ariana grande,thank u next,,
armin van buuren,another you,,
art of dying,die trying,,
artifex pereo,edgar suit,,
artist vs. poet,were all the same,,
artist vs. poet,adorable,,
artist vs. poet,unconscious reality,,
artist vs. poet,broke but not broken,,
artist vs. poet,miserably loving you,,
artist vs. poet,so much i never said,,
artist vs. poet,car crash,,
artist vs. poet,favorite fix,,
as i lay dying,forsaken,,
as it is,dial tones,,
as it is,cant save myself,,
ash,clones,,
asher roth,i love college,,
asher roth,party girl,,
asia,the closer i get to you,,
asphalt orchestra,where is my mind,,
asteria,the taste the touch,,
aston,telephone,,
astro,panda,,
astronaut,champions (feat. harry brooks jnr),14.0,0.9516367316246032
astronaut,champions,14.0,0.9516367316246032
astronaut,apollo - electro mix,,
atlas genius,trojans,,
atlas genius,stockholm,,
atlas genius,electric,,
atlas genius,if so,,
atom smash,kiss from a rose,,
atreyu,right side of the bed,,
atreyu,falling down,,
attack attack,interlude,,
audiomachine,nameless heroes,,
audiomachine,farewell to earth,,
audiomachine,redemption,,
augustines,chapel song,,
aulii cravalho,how far ill go,,
aurora,forgotten love,,
austin gibbs,take me to your leader,,
austin gibbs,sierra the serial killer,,
austin gibbs,i like the ones,,
austin mahone,say somethin,,
austin mahone,say youre just a friend (feat. flo rida),15.0,0.9687063097953796
austin mahone,say youre just a friend,15.0,0.9687063097953796
austra,lose it,,
authority zero,no regrets,,
automatic loveletter,hush,,
automatic loveletter,black ink revenge,,
autopilot off,the 12th day,,
avenged sevenfold,beast and the harlot,,
avenged sevenfold,afterlife,,
avenged sevenfold,bat country,,
avenged sevenfold,almost easy,,
avenged sevenfold,walk - studio version,,
avicii,i could be the one avicii vs nicky romero - nicktim radio edit,16.0,0.7974447596579474
avicii,i could be the one (avicii vs. nicky romero) - nicktim / radio edit,16.0,0.8799418069947941
avicii,hey brother,,
avicii,i could be the one avicii vs nicky romero - nicktim / radio edit,16.0,0.7776474440307523
avicii,heart upon my sleeve,,
avicii,shame on me,,
avicii,pure grinding,,
avicii,for a better day,,
avicii,liar liar,,
avicii,you make me,17.0,0.956541895866394
avicii,city lights,,
avicii,trouble,,
avicii,broken arrows,,
avicii,wake me up,,
avicii,somewhere in stockholm,,
avicii,the nights,,
avicii,hope theres someone,,
avicii,lay me down,,
avicii,edom,,
avicii,waiting for love,,
avicii,fade into darkness - vocal radio mix,,
avicii,addicted to you,,
avicii,i could be the one avicii vs nicky romero - nicktim - radio edit,16.0,0.8099352496556731
avicii,i could be the one (avicii vs. nicky romero) - radio edit,16.0,0.650177093135816
avicii,levels,,
avicii,dear boy,,
avicii,long road to hell,,
avicii,sunset jesus,,
avicii,true believer,,
avicii,you make me - throttle radio edit,17.0,0.956541895866394
avicii,the days,,
avril lavigne,what the hell,,
avril lavigne,girlfriend,,
avril lavigne,complicated,,
avril lavigne,sk8er boi,,
awolnation,hollow moon (bad wolf),,
awolnation,california halo blue,,
axwell,roar - style of eye remix,,
ayo teo,rolex,,
b.o.b,headband (feat. 2 chainz),,
b.o.b,strange clouds (feat. lil wayne),18.0,0.8104056119918823
b.o.b,airplanes (feat. hayley williams),,
b.o.b,magic (feat. rivers cuomo),,
b.o.b,strange clouds - feat. lil wayne,18.0,0.8104056119918823
b.o.b,nothin on you - feat. bruno mars,19.0,0.8104056119918823
b.o.b,nothin on you (feat. bruno mars),19.0,0.8104056119918823
b.o.b,ghost in the machine,,
b.o.b,ray bands,,
bayboy boom,bitches bottles,,
baby bash,suga suga,,
bacilos,caraluna,,
back pocket memory,all we have,,
backstreet boys,everybody (backstreets back),,
backstreet boys,larger than life,,
backstreet boys,i want it that way,,
bad company,bad company - 2015 remastered version,20.0,0.9545173633821477
bad company,bad company,20.0,0.9545173633821477
bad company,shooting star - 2015 remastered version,,
bad company,bad company (remastered album version),,
bad company,shooting star (remastered album version),,
bad religion,21st century (digital boy),21.0,0.962772011756897
bad religion,21st century,21.0,0.962772011756897
bad suns,dancing on quicksand,,
bad suns,disappear here,,
bad suns,maybe were meant to be alone,,
bad suns,cardiac arrest,,
bad suns,pretend,,
bad suns,daft pretty boys (ourvinyl sessions),,
bad suns,we move like the ocean,,
bad suns,unstable,,
bad suns,transpose,,
bad suns,sleep paralysis,,
bad suns,matthew james,,
bad wolves,zombie,,
bag raiders,way back home,,
bag raiders,shooting stars,,
bahamas,lost in the light,,
balanescu quartet,computer love,,
balkan bump,give me something to funk,,
ballyhoo,last night,,
balmorhea,truth (helios remix),,
balmorhea,heir i,,
bananarama,venus,,
band of horses,electric music,,
banda la trakalosa,san lunes,,
banda la trakalosa,ingratos ojos mios (feat. cirilo luna),,
banda la trakalosa,un par de cerdos,,
banda los recoditos,me sobrabas tu,,
banda los recoditos,cuando te entregues a el,,
banda sinaloense ms de sergio lizarraga,mi razon de ser,,
banda sinaloense ms de sergio lizarraga,en preparacion,,
banda sinaloense ms de sergio lizarraga,mi mayor anhelo,,
banda sinaloense ms de sergio lizarraga,de ti enamorado,,
banda sinaloense ms de sergio lizarraga,ni las moscas se te paran,,
banda sinaloense ms de sergio lizarraga,hablame de ti,,
banda sinaloense ms de sergio lizarraga,valiendo madre,,
banda tierra sagrada,anestesiado,,
banda tierra sagrada,la buena y la mala,,
bang camaro,cant stop the night,,
bang camaro,swallow the razor,,
bang camaro,push push (lady lightning),,
bang camaro,shes gone (critical),,
bang camaro,pleasure (pleasure),,
bang camaro,blood red rock,,
bankroll mafia,hyenas,,
barenaked ladies,one week,,
barry manilow,looks like we made it,,
bart baker,second look (original version) feat. lada redstar lndsr,,
bart baker,second look (dj mibor remix) feat. lada redstar lndsr,,
bart baker,mettez-vous dans lambiance (feat. christophe avril),,
basement,promise everything,,
basshunter,dota,,
basshunter,all i ever wanted,,
bat for lashes,laura,,
bayside,sick sick sick,,
bea miller,this is not an apology,,
beach avenue,coming your way,,
bear ghost,necromancin dancin,,
bear hands,moment of silence,,
bear hands,giants,,
bear hands,agora,,
bears den,the love we stole,,
beartooth,in between,,
beastie boys,so whatcha want - remastered 2009,,
beastie boys,sabotage - 2009 digital remaster,,
beastie boys,no sleep till brooklyn,,
beastie boys,sabotage - remastered 2009,22.0,0.953551589429086
beastie boys,sabotage,22.0,0.953551589429086
beastie boys,intergalactic - 2009 digital remaster,,
beastie boys,brass monkey,,
beastie boys,fight for your right,,
beastie boys,intergalactic - remastered,,
beastie boys,gratitude - 2009 digital remaster,,
beastie boys,so whatcha want - 2009 digital remaster,,
beck,e-pro,,
beck,loser,,
becky g,lovin so hard,,
bee gees,you should be dancing (remastered album version),23.0,0.8201017250564739
bee gees,stayin alive,24.0,0.9569369911054706
bee gees,stayin alive - from saturday night fever soundtrack,,
bee gees,you should be dancing - edit,23.0,0.8209332495635209
bee gees,you should be dancing,23.0,0.9679185189193922
bee gees,stayin alive - remastered version,24.0,0.6482978038709439
bee gees,stayin alive (remastered album version),24.0,0.6481144121400012
belinda carlisle,heaven is a place on earth,,
bell biv devoe,poison,,
ben howard,she treats me well,,
benny benassi,cinema (skrillex remix),,
benny goodman,sing sing sing,,
benny goodman,you brought a new kind of love to me (instrumental) instrumental version,,
benny goran bror andersson,dancing queen,,
berlin,pleasure victim,,
better than ezra,a lifetime,,
betty who,somebody loves you,,
betty who,glory days,,
between the buried and me,selkies: the endless obsession,,
between the buried and me,prequel to the sequel,,
between the trees,the way she feels,,
beyonce,crazy in love,25.0,0.9638582468032836
beyonce,irreplaceable,,
beyonce,crazy in love (feat. jay-z),25.0,0.9638582468032836
beyonce,drunk in love,,
biboulakis,is that too much to ask (feat. nina zeitlin),26.0,0.9670113921165466
biboulakis,if only alarms didnt ring - feat. nina zeitlin,,
biboulakis,is that too much to ask,26.0,0.9670113921165466
big bad voodoo daddy,minnie the moocher,,
big bad voodoo daddy,go daddy-o,,
big bad voodoo daddy,how big can you get,,
big boy,mis ojos lloran por ti,,
big k.r.i.t.,cadillactica,,
big scary,invest,,
big sean,beware,,
big sean,paradise,,
big time rush,music sounds better with u,,
bill haley his comets,shake rattle and roll - single version,,
bill lee,edelweiss,,
bill withers,lovely day,,
bill withers,aint no sunshine,,
billie eilish,bad guy,,
billie eilish,ocean eyes,,
billie eilish,bad guy (with justin bieber),,
billy idol,white wedding - pt. 1,27.0,0.786948561668396
billy idol,white wedding - part 1 - 2001- remaster,27.0,0.786948561668396
billy idol,rebel yell - remastered,,
billy idol,rebel yell - 1999 - remaster,,
billy idol,cant break me down,,
billy idol,dancing with myself - 2001 digital remaster,,
billy joel,uptown girl,,
billy joel,its still rock and roll to me,,
billy joel,we didnt start the fire,,
billy joel,big shot,,
billy joel,piano man,,
billy squier,the stroke - 2010 - remaster,,
billy talent,try honesty,,
billy talent,show me the way,,
biting elbows,bad motherfucker,,
biz markie,just a friend,,
black eyed peas,lets get retarded,,
black eyed peas,boom boom pow,,
black eyed peas,just cant get enough,,
black eyed peas,lets get it started - spike mix,,
black eyed peas,pump it,,
black eyed peas,i gotta feeling,,
black eyed peas,where is the love,,
black light burns,stop a bullet,,
black sabbath,war pigs,28.0,0.9478021849223152
black sabbath,war pigs/lukes wall - remastered version,,
black sabbath,paranoid - 2016 remaster,29.0,0.954922019563705
black sabbath,war pigs / lukes wall - 2014 remaster,28.0,0.9478021849223152
black sabbath,paranoid - remastered version,,
black sabbath,paranoid,29.0,0.954922019563705
black tide,shockwave,,
black tide,warriors of time,,
black veil brides,in the end,,
black veil brides,we dont belong,,
blackbear,do re mi,,
blanks,better now,,
blind melon,no rain - remastered 2002,,
blind melon,no rain - 2002 - remastered,,
bloc party,helicopter,,
blonde,i loved you (feat. melissa steel),,
blondie,one way or another - 2001 - remaster,30.0,0.9656128883361816
blondie,the tide is high - edit,31.0,0.9709835052490234
blondie,my monster,,
blondie,the tide is high,31.0,0.9709835052490234
blondie,already naked,,
blondie,heart of glass - special mix,32.0,0.9648147225379944
blondie,heart of glass,32.0,0.9648147225379944
blondie,one way or another,30.0,0.9656128883361816
blondie,when i gave up on you,,
blondie,call me,,
blondie,rapture,,
blossom dearie,i wont dance,,
blowsight,if you were me,,
blowsight,bus girl,,
blowsight,how i get what i deserve,,
blue october,into the ocean,,
blue swede,hooked on a feeling,,
blue oyster cult,godzilla,,
blue oyster cult,(dont fear) the reaper,,
blue oyster cult,burnin for you,,
blue oyster cult,cities on flame with rock and roll,,
blueface,thotiana,,
bluejuice,broken leg,,
blues traveler,hook,,
blur,song 2,,
bob marley the wailers,one love/people get ready,,
bob marley the wailers,three little birds,,
bob marley the wailers,redemption song,,
bob marley the wailers,i shot the sheriff,,
bobaflex,bury me with my guns,,
bobby darin,splish splash,,
bobby darin,beyond the sea,,
bobby darin,mack the knife,,
bobby darin,artificial flowers,,
bobby day,rockin robin,,
bobby mcferrin,dont worry be happy,,
body language,falling out,,
bombay bicycle club,always like this,,
bon iver,marion,,
bon iver,faith,,
bon jovi,wanted dead or alive,,
bon jovi,you give love a bad name,,
bon jovi,livin on a prayer,,
bonnie tyler,holding out for a hero - from footloose soundtrack,,
bonnie tyler,total eclipse of the heart,,
bonobo,flashlight,,
born ruffians,needle,,
boston,let me take you home tonight,,
boston,foreplay / long time,33.0,0.6783505082130432
boston,rock roll band,,
boston,more than a feeling,,
boston,peace of mind,,
boston,foreplay/long time,33.0,0.6783505082130432
boston,something about you,,
boston,smokin,,
boston,hitch a ride,,
bowling for soup,hrsa,,
bowling for soup,1985,,
bowling for soup,stacys mom,,
bowling for soup,almost,,
bowling for soup,high school never ends - main version - explicit,,
bowling for soup,i melt with you,,
box car racer,there is,,
box car racer,and i,,
box car racer,i feel so,,
boy bear,fall at your feet,,
boyce avenue,leave out all the rest - bonus track,,
boyce avenue,no one tattoo,,
boyce avenue,lovestoned,,
boyce avenue,without you here,,
boyce avenue,before its too late,,
boyce avenue,so small,,
boyce avenue,say,,
boyce avenue,beautiful girls stand by me,,
boyce avenue,iris (2008),,
boyce avenue,with you,,
boyce avenue,mirrors (feat. fifth harmony),,
boyce avenue,breakeven (falling to pieces),,
boyce avenue,shadow of the day,,
boys like girls,shes got a boyfriend now,,
boys like girls,on top of the world,,
boys like girls,the great escape,,
boys like girls,learning to fall,,
boys like girls,five minutes to midnight,,
boys like girls,hero/heroine,,
boys like girls,heels over head,,
boys like girls,love drunk,,
brad kane,one jump ahead (reprise) - from aladdin/soundtrack version,,
brad paisley,im gonna miss her,,
brad sucks,making me nervous,,
branches,i believe in a thing called love,,
breakbot,baby im yours,,
breaking benjamin,the diary of jane,,
breathe electric,electronic lover,,
breathe electric,lovestruck,,
breathe electric,never gonna give you up,,
brian tyler,timeline,,
brian tyler,eagle eye end title,,
brian tyler,dive bombers,,
brian tyler,heat and iron,,
brian tyler,rebalance,,
bridgit mendler,ready or not,,
bright eyes,lua,,
bright eyes,first day of my life,,
britney spears,phonography,,
britney spears,mmm papi,,
britney spears,gimme more,,
britney spears,lucky,,
britney spears,if u seek amy,,
britney spears,unusual you,,
broadside,coffee talk,,
broken bells,the mall misery,,
broken social scene,7/4 (shoreline),,
bromheads jacket,fight music for the fight,,
broods,taking you there,,
broods,l.a.f,,
bruce adler,arabian nights - from aladdin/soundtrack version,,
bruno mars,just the way you are,,
bruno mars,the lazy song,,
bruno mars,grenade - acoustic,34.0,0.9566775560379028
bruno mars,runaway baby,,
bruno mars,treasure,,
bruno mars,locked out of heaven,,
bruno mars,grenade,34.0,0.9566775560379028
bryan adams,summer of 69,,
buckcherry,crazy bitch,,
buddy greco,like young,,
buddy holly,peggy sue,,
buddy holly,everyday,,
buddy holly,thatll be the day,,
buddy holly,oh boy - overdubbed version,,
buddy holly,rave on,,
buddy rich,apples (aka gino) - live,,
bullet for my valentine,scream aim fire,,
bullets and octane,queen mirage,,
bullets and octane,bathroom floor,,
bush,loneliness is a killer,,
bush,bodies in motion,,
busted,year 3000 - live version,,
busted,air hostess,,
butch walker,chrissie hynde,,
borns,electric love,,
borns,past lives,,
borns,10000 emerald pools,,
c2c,happy,,
chappo,come home,,
chvrches,the mother we share,,
chvrches,never say die,,
chvrches,dead air,,
cruisr,go for it,35.0,0.9569396376609802
cruisr,all over - peter thomas remix,36.0,0.9517146944999696
cruisr,go for it - shallou remix,35.0,0.9569396376609802
cruisr,throw shade,,
cruisr,all over,36.0,0.9517146944999696
cruisr,kidnap me,,
cady groves,this little girl,,
caesars,jerk it out - original mix,37.0,0.9608233571052552
caesars,jerk it out,37.0,0.9608233571052552
cage the elephant,aint no rest for the wicked,,
cage the elephant,take it or leave it,,
cage the elephant,shake me down,,
cage the elephant,come a little closer,,
cage the elephant,mess around,,
cage the elephant,the lonesome death of hattie carroll,,
cage9,hearts and stars,,
caifanes,viento,,
cake,short skirt / long jacket,,
calboy,envy me,,
calibre 50,aunque ahora estes con el,,
calle 13,atrevete-te-te,,
calum scott,dancing on my own,,
calvin harris,lets go,,
calvin harris,i need your love (feat. ellie goulding),38.0,0.9616622924804688
calvin harris,sweet nothing,39.0,0.9586402773857116
calvin harris,under control,,
calvin harris,outside,,
calvin harris,blame,,
calvin harris,thinking about you,,
calvin harris,this is what you came for,,
calvin harris,lets go (feat. ne-yo),,
calvin harris,sweet nothing (feat. florence welch),39.0,0.9586402773857116
calvin harris,i need your love,38.0,0.9616622924804688
cam,my mistake,,
camron,so bad (feat. nicki minaj yummy),,
camilo,tutu - remix,,
cant stop wont stop,grand prize,,
capital cities,farrah fawcett hair,,
capital cities,center stage,,
capital cities,chartreuse,,
capital cities,tell me how to live,,
capital lights,outrage,,
capra,low day,,
caravan palace,mighty (feat. jfth),,
caravan palace,dramophone (swing flappers edit) bonus track,,
caravan palace,beatophone,,
caravan palace,dragons,,
caravan palace,jolie coquine,,
caravan palace,rock it for me,,
caravan palace,lone digger,,
cardi b,i like it,,
caribou,back home,,
carlinhos brown mikael mutti,market forro,,
carly rae jepsen,i really like you,,
carly rae jepsen,gimmie love,,
carly rae jepsen,favourite colour,,
carly rae jepsen,emotion,,
carly rae jepsen,this love isnt crazy,,
carly rae jepsen,call me maybe,,
carly rae jepsen,cut to the feeling,,
carly rae jepsen,sweet talker,,
caro emerald,the other woman,,
caro emerald,that man - album edit,40.0,0.9572390913963318
caro emerald,that man,40.0,0.9572390913963318
caro emerald,just one dance,,
caro emerald,back it up,,
caro emerald,pack up the louie (caravan palace remix),41.0,0.9624884724617004
caro emerald,lipstick on his collar,,
caro emerald,riviera life,,
caro emerald,whatchugot - pisk remix,,
caro emerald,the lipstick on his collar,,
caro emerald,stuck,,
caro emerald,tangled up,,
caro emerald,pack up the louie,41.0,0.9624884724617004
caro emerald,you dont love me,,
carolina liar,show me what im looking for,,
carolina liar,im not over,,
carrie underwood,good girl,,
cartel,faster ride,,
cartel,the perfect mistake,,
cartel,the fortunate,,
cartel,honestly,,
cartel,wonderwall,,
cartel,say anything (else),,
cartel de santa,a ti te da besitos,,
cartel de santa,el raton y el queso,,
cartel de santa,los mensajes del whatsapp,,
cartel de santa,con el corazon,,
cartel de santa,dejate caer,,
cartel de santa,doctor marihuana,,
cartel de santa,si te vienen a contar,,
cartel de santa,volar volar,,
cartel de santa,dale fuego,,
cartel de santa,con el coco rapado,,
cartel de santa,escucha y aprende,,
cartel de santa,traficando rimas,,
cartel de santa,es de ley,,
cartel de santa,mobster paradise,,
cascada,evacuate the dancefloor,,
cascada,what hurts the most - yanous candlelight mix,,
cascada,kids in america,,
cascada,everytime we touch,,
casey abrams,get out,,
cash cash,dynamite,,
cash cash,party in your bedroom,,
cash cash,take me home (feat. bebe rexha),42.0,0.9734785556793212
cash cash,millionaire (feat. nelly),,
cash cash,surrender - acoustic,,
cash cash,take me home (feat. bebe rexha) - acoustic,42.0,0.9734785556793212
cash cash,overtime,,
caspian,gone in bloom and bough,,
catch 22,keasbey nights,,
cauterize,my everything,,
cauterize,promise me,,
cauterize,ill cry tomorrow,,
cauterize,still breathing,,
cauterize,taste of tears,,
cavo,waiting for silence,,
cayucas,cayucos,,
cayucas,high school lover,,
cazzette,beam me up - radio edit,,
cazzette,blue sky,,
cazzette,beam me up (kill mode) (radio edit),,
cazzette,blind heart - radio edit,,
cazzette,weapon,,
cazzette,blind heart - mix cut,,
ceelo green,fuck you,43.0,0.9795191287994384
ceelo green,fuck you,43.0,0.9795191287994384
chameleon circuit,blink,,
chamillionaire,ridin dirty (feat. chamillionaire),,
chamillionaire,ridin,,
chance the rapper,zanies and fools,,
chance the rapper,4 quarters in the black (skit),,
chance the rapper,all night (feat. knox fortune),,
chance the rapper,no problem (feat. lil wayne 2 chainz),,
chance the rapper,same drugs,,
chance the rapper,smoke break (feat. future),,
chance the rapper,angels (feat. saba),,
chance the rapper,do you remember,,
chapeaumelon,my generation,,
chapeaumelon,ma generation (my generation),,
charli xcx,break the rules,44.0,0.9627892971038818
