Artist,Song,title
a perfect circle,the outsider,the outsider
a r i z o n a,feed the beast,feed the beast
a r i z o n a,oceans away,oceans away
a rocket to the moon,sometimes,sometimes
a rocket to the moon,like we used to,like we used to
a rocket to the moon,life of the party,life of the party
a rocket to the moon,whole lotta you,whole lotta you
a rocket to the moon,mr. right,mr. right
a rocket to the moon,ever enough,ever enough
a silent film,harbour lights,harbour lights
a static lullaby,half man half shark equals one complete gentleman,half man half shark equals one complete gentleman
a static lullaby,toxic,toxic
a static lullaby,toxic (britney spears cover),toxic (britney spears cover)
aap ferg,plain jane,plain jane
aap mob,feels so good,feels so good
aap rocky,multiply,multiply
ac/dc,tnt,tnt
ac/dc,highway to hell,highway to hell
ac/dc,back in black - live - 1991,back in black
ac/dc,stormy may day,stormy may day
ac/dc,t.n.t.,t.n.t.
ac/dc,back in black,back in black
ac/dc,shoot to thrill,shoot to thrill
ac/dc,thunderstruck,thunderstruck
ac/dc,you shook me all night long,you shook me all night long
ac/dc,thunderstruck - live,thunderstruck
afi,back into the sun,back into the sun
afi,miss murder,miss murder
afi,trash bat,trash bat
afi,break angels,break angels
afi,17 crimes,17 crimes
afi,girls not grey,girls not grey
afi,love like winter,love like winter
ajr,im ready,im ready
am taxi,the mistake,the mistake
apse,from the north,from the north
ashes divide,forever can be,forever can be
aaron carter,sooner or later,sooner or later
acceptance,so contagious,so contagious
ace hood,bugatti,bugatti
ace of base,the sign,the sign
ace of base,all that she wants,all that she wants
ace of base,beautiful life,beautiful life
acid pauli,swing bob - acid paulis kosmik remix,swing bob - acid paulis kosmik remix
adebisi shank,big unit,big unit
adele,someone like you,someone like you
adele,rolling in the deep,rolling in the deep
adele,chasing pavements,chasing pavements
adelitas way,criticize,criticize
adventure club,do i see color,do i see color
aer,floats my boat,floats my boat
aerosmith,sweet emotion,sweet emotion
aerosmith,love in an elevator,love in an elevator
aerosmith,i dont want to miss a thing,i dont want to miss a thing
aerosmith,dude looks like a lady,dude looks like a lady
aerosmith,same old song and dance,same old song and dance
aerosmith,i dont want to miss a thing - from armageddon soundtrack,i dont want to miss a thing
aerosmith,train kept a rollin,train kept a rollin
aerosmith,dream on,dream on
aerosmith,dude (looks like a lady),dude looks like a lady
aerosmith,walk this way,walk this way
afrojack,no beef - vocal mix,no beef - vocal mix
afrojack,ten feet tall,ten feet tall
afrojack,switch - des3ett remix,switch - des3ett remix
afrojack,take over control (spencer hill mix) feat. eva simons,take over control (spencer hill mix) feat. eva simons
afrojack,the spark,the spark
after midnight project,take me home,take me home
air dubai,warning - feat. patricia lynn,warning - feat. patricia lynn
air dubai,warning (feat. patricia lynn),warning - feat. patricia lynn
akon,lonely,lonely
akon,smack that - dirty,smack that
akon,lonely - old version,lonely - old version
akon,smack that,smack that
akon,sorry blame it on me,sorry blame it on me
alanis morissette,the morning (from the film a small section of the world),the morning (from the film a small section of the world)
alanis morissette,you oughta know,you oughta know
alejandro fernandez,me dedique a perderte,me dedique a perderte
alejandro fernandez,canta corazon,canta corazon
alejandro fernandez,matalas,matalas
alejandro sanz,corazon partio,corazon partio
alessia cara,how far ill go - from moana,how far ill go - from moana
alessia cara,here,here
alesso,cool,cool
alex g,problem,problem
alexander,truth,truth
alexander,te amo,te amo
alexisonfire,this could be anywhere in the world,this could be anywhere in the world
alice cooper,under my wheels,under my wheels
alice cooper,schools out,schools out
alice cooper,schools out (album/single version),schools out
alice cooper,under my wheels - remastered version,under my wheels
alice francis,shoot him down - parov stelar radio version,shoot him down
alice francis,shoot him down,shoot him down
alice in chains,man in the box,man in the box
alice in chains,rooster,rooster
alien ant farm,movies,movies
alien ant farm,smooth criminal,smooth criminal
alien ant farm,homage,homage
alkaline trio,calling all skeletons,calling all skeletons
all out,lights ft. xv,lights ft. xv
all that remains,this calling,this calling
all that remains,six,six
all that remains,chiron,chiron
all that remains,overcome,overcome
all time low,hello brooklyn,hello brooklyn
all time low,break your little heart,break your little heart
all time low,painting flowers,painting flowers
all time low,missing you,missing you
all time low,remembering sunday,remembering sunday
all time low,walls,walls
all time low,lost in stereo,lost in stereo
all time low,fools holiday,fools holiday
all time low,somethings gotta give,somethings gotta give
all time low,dear maria count me in,dear maria count me in
all time low,kids in the dark,kids in the dark
all time low,weightless,weightless
all time low,backseat serenade,backseat serenade
all time low,damned if i do ya (damned if i dont),damned if i do ya (damned if i dont)
all-4-one,i swear,i swear
allister,somewhere on fullerton,somewhere on fullerton
allister,waiting,waiting
allstar weekend,journey to the end of my life,journey to the end of my life
allstar weekend,the weekend,the weekend
allstar weekend,hey princess,hey princess
aloe blacc,i need a dollar,i need a dollar
aloe blacc,wake me up - acoustic,wake me up - acoustic
aloe blacc,love is the answer,love is the answer
alok,hear me now,hear me now
alvarez kings,the other side of sadness,the other side of sadness
alvaro soler,sofia,sofia
aly aj,like whoa,like whoa
aly aj,potential breakup song,potential breakup song
amason,kelly,kelly
amber,this is your night,this is your night
amber pacific,something to be said,something to be said
amber pacific,watching over me,watching over me
amber pacific,save me from me,save me from me
amber pacific,runaway (featuring mike herrera of mxpx),runaway (featuring mike herrera of mxpx)
amber pacific,we cant fake this,we cant fake this
amber pacific,burdens of the past,burdens of the past
amenazzy,nadie como tu,nadie como tu
american authors,bring it on home (camp fire mix) feat. phillip phillips maddie poppe,bring it on home (camp fire mix) feat. phillip phillips maddie poppe
american authors,best day of my life,best day of my life
american authors,believer,believer
american hi-fi,we cant be friends,we cant be friends
american hi-fi,something real,something real
american hi-fi,rise,rise
american hi-fi,highs and lows,highs and lows
american hi-fi,the geeks get the girls,the geeks get the girls
american hi-fi,where did we go wrong,where did we go wrong
american hi-fi,flavor of the weak,flavor of the weak
american hi-fi,this is the sound,this is the sound
amon amarth,war of the gods,war of the gods
ana tijoux,1977,1977
anarbor,let the games begin,let the games begin
anarbor,who can save me now,who can save me now
anarbor,useless,useless
anarbor,you and i,you and i
anarbor,damage ive done,damage ive done
anarbor,passion for publication,passion for publication
anarbor,gypsy woman,gypsy woman
anarbor,the brightest green,the brightest green
anarchy club,get clean,get clean
anarchy club,blood doll,blood doll
anarchy club,behind the mask,behind the mask
anberlin,the unwinding cable car,the unwinding cable car
anberlin,the feel good drag,the feel good drag
anberlin,feel good drag,feel good drag
anberlin,dismantle.repair.,dismantle.repair.
anberlin,dismantle. repair.,dismantle.repair.
anberlin,hearing voices,hearing voices
andrew huang,nostalgia,nostalgia
andrew lloyd webber,the music of the night,the music of the night
andrew lloyd webber,the phantom of the opera,the phantom of the opera
andrew mcmahon,learn to dance,learn to dance
andrew mcmahon in the wilderness,after the fire,after the fire
andrew mcmahon in the wilderness,high dive,high dive
andrew mcmahon in the wilderness,cecilia and the satellite,cecilia and the satellite
andrew mcmahon in the wilderness,see her on the weekend,see her on the weekend
andrew w.k.,party hard,party hard
andy grammer,keep your head up,keep your head up
andy grammer,honey im good.,honey im good.
anemic,escape my fate,escape my fate
angel witch,angel witch,angel witch
angela lansbury,beauty and the beast - from beauty and the beast / soundtrack version,beauty and the beast - from beauty and the beast / soundtrack version
angels airwaves,everythings magic,everythings magic
angels airwaves,paralyzed,paralyzed
angels airwaves,the adventure,the adventure
angels airwaves,secret crowds,secret crowds
angus julia stone,big jet plane - radio edit,big jet plane - radio edit
anita oday,that old feeling,that old feeling
anna kendrick/kendrick lamar ft drake/florence and the machine,poetic,poetic
anna phoebe,blackstar,blackstar
anne-marie,alarm,alarm
anthem lights,we are never getting back together,we are never getting back together
anthem lights,taylor swift mash-up,taylor swift mash-up
anthrax,got the time,got the time
anthrax,madhouse,madhouse
anthrax,caught in a mosh,caught in a mosh
anthrax,one world - alternate take,one world
anthrax,one world (alternate take),one world
anthrax,caught in a mosh remastered,caught in a mosh
anthrax,i am the law,i am the law
anthrax,one world,one world
antony and the johnsons,knockin on heavens door,knockin on heavens door
antonio carlos jobim,the girl from ipanema,the girl from ipanema
ape fight,you think we suck,you think we suck
aphex twin,s950tx16wasr10 163.97earth portal mix,s950tx16wasr10 163.97earth portal mix
apocalyptica,nothing else matters,nothing else matters
approaching nirvana,quiet,quiet
april sixth,roses - ep version,roses - ep version
april sixth,suicidal - ep version,suicidal - ep version
aqua,barbie girl,barbie girl
aramis string quartet,marry you,marry you
aranda,it aint easy,it aint easy
arcade fire,crown of love,crown of love
arcade fire,rebellion (lies),rebellion (lies)
architecture in helsinki,escapee,escapee
arctic monkeys,fluorescent adolescent,fluorescent adolescent
arctic monkeys,d is for dangerous,d is for dangerous
arctic monkeys,brianstorm,brianstorm
arctic monkeys,from the ritz to the rubble,from the ritz to the rubble
arctic monkeys,do i wanna know,do i wanna know
arctic monkeys,if you were there beware,if you were there beware
aretha franklin,chain of fools,chain of fools
aretha franklin,respect - remastered,respect
aretha franklin,respect,respect
ariana grande,the way,the way
ariana grande,right there,right there
ariana grande,7 rings,7 rings
ariana grande,break free,break free
ariana grande,best mistake,best mistake
ariana grande,thank u next,thank u next
armin van buuren,another you,another you
art of dying,die trying,die trying
artifex pereo,edgar suit,edgar suit
artist vs. poet,were all the same,were all the same
artist vs. poet,adorable,adorable
artist vs. poet,unconscious reality,unconscious reality
artist vs. poet,broke but not broken,broke but not broken
artist vs. poet,miserably loving you,miserably loving you
artist vs. poet,so much i never said,so much i never said
artist vs. poet,car crash,car crash
artist vs. poet,favorite fix,favorite fix
as i lay dying,forsaken,forsaken
as it is,dial tones,dial tones
as it is,cant save myself,cant save myself
ash,clones,clones
asher roth,i love college,i love college
asher roth,party girl,party girl
asia,the closer i get to you,the closer i get to you
asphalt orchestra,where is my mind,where is my mind
asteria,the taste the touch,the taste the touch
aston,telephone,telephone
astro,panda,panda
astronaut,champions (feat. harry brooks jnr),champions
astronaut,champions,champions
astronaut,apollo - electro mix,apollo - electro mix
atlas genius,trojans,trojans
atlas genius,stockholm,stockholm
atlas genius,electric,electric
atlas genius,if so,if so
atom smash,kiss from a rose,kiss from a rose
atreyu,right side of the bed,right side of the bed
atreyu,falling down,falling down
attack attack,interlude,interlude
audiomachine,nameless heroes,nameless heroes
audiomachine,farewell to earth,farewell to earth
audiomachine,redemption,redemption
augustines,chapel song,chapel song
aulii cravalho,how far ill go,how far ill go
aurora,forgotten love,forgotten love
austin gibbs,take me to your leader,take me to your leader
austin gibbs,sierra the serial killer,sierra the serial killer
austin gibbs,i like the ones,i like the ones
austin mahone,say somethin,say somethin
austin mahone,say youre just a friend (feat. flo rida),say youre just a friend
austin mahone,say youre just a friend,say youre just a friend
austra,lose it,lose it
authority zero,no regrets,no regrets
automatic loveletter,hush,hush
automatic loveletter,black ink revenge,black ink revenge
autopilot off,the 12th day,the 12th day
avenged sevenfold,beast and the harlot,beast and the harlot
avenged sevenfold,afterlife,afterlife
avenged sevenfold,bat country,bat country
avenged sevenfold,almost easy,almost easy
avenged sevenfold,walk - studio version,walk - studio version
avicii,i could be the one avicii vs nicky romero - nicktim radio edit,i could be the one (avicii vs. nicky romero) - radio edit
avicii,i could be the one (avicii vs. nicky romero) - nicktim / radio edit,i could be the one (avicii vs. nicky romero) - radio edit
avicii,hey brother,hey brother
avicii,i could be the one avicii vs nicky romero - nicktim / radio edit,i could be the one (avicii vs. nicky romero) - radio edit
avicii,heart upon my sleeve,heart upon my sleeve
avicii,shame on me,shame on me
avicii,pure grinding,pure grinding
avicii,for a better day,for a better day
avicii,liar liar,liar liar
avicii,you make me,you make me
avicii,city lights,city lights
avicii,trouble,trouble
avicii,broken arrows,broken arrows
avicii,wake me up,wake me up
avicii,somewhere in stockholm,somewhere in stockholm
avicii,the nights,the nights
avicii,hope theres someone,hope theres someone
avicii,lay me down,lay me down
avicii,edom,edom
avicii,waiting for love,waiting for love
avicii,fade into darkness - vocal radio mix,fade into darkness - vocal radio mix
avicii,addicted to you,addicted to you
avicii,i could be the one avicii vs nicky romero - nicktim - radio edit,i could be the one (avicii vs. nicky romero) - radio edit
avicii,i could be the one (avicii vs. nicky romero) - radio edit,i could be the one (avicii vs. nicky romero) - radio edit
avicii,levels,levels
avicii,dear boy,dear boy
avicii,long road to hell,long road to hell
avicii,sunset jesus,sunset jesus
avicii,true believer,true believer
avicii,you make me - throttle radio edit,you make me
avicii,the days,the days
avril lavigne,what the hell,what the hell
avril lavigne,girlfriend,girlfriend
avril lavigne,complicated,complicated
avril lavigne,sk8er boi,sk8er boi
awolnation,hollow moon (bad wolf),hollow moon (bad wolf)
awolnation,california halo blue,california halo blue
axwell,roar - style of eye remix,roar - style of eye remix
ayo teo,rolex,rolex
b.o.b,headband (feat. 2 chainz),headband (feat. 2 chainz)
b.o.b,strange clouds (feat. lil wayne),strange clouds (feat. lil wayne)
b.o.b,airplanes (feat. hayley williams),airplanes (feat. hayley williams)
b.o.b,magic (feat. rivers cuomo),magic (feat. rivers cuomo)
b.o.b,strange clouds - feat. lil wayne,strange clouds (feat. lil wayne)
b.o.b,nothin on you - feat. bruno mars,nothin on you - feat. bruno mars
b.o.b,nothin on you (feat. bruno mars),nothin on you - feat. bruno mars
b.o.b,ghost in the machine,ghost in the machine
b.o.b,ray bands,ray bands
bayboy boom,bitches bottles,bitches bottles
baby bash,suga suga,suga suga
bacilos,caraluna,caraluna
back pocket memory,all we have,all we have
backstreet boys,everybody (backstreets back),everybody (backstreets back)
backstreet boys,larger than life,larger than life
backstreet boys,i want it that way,i want it that way
bad company,bad company - 2015 remastered version,bad company
bad company,bad company,bad company
bad company,shooting star - 2015 remastered version,shooting star - 2015 remastered version
bad company,bad company (remastered album version),bad company (remastered album version)
bad company,shooting star (remastered album version),shooting star (remastered album version)
bad religion,21st century (digital boy),21st century
bad religion,21st century,21st century
bad suns,dancing on quicksand,dancing on quicksand
bad suns,disappear here,disappear here
bad suns,maybe were meant to be alone,maybe were meant to be alone
bad suns,cardiac arrest,cardiac arrest
bad suns,pretend,pretend
bad suns,daft pretty boys (ourvinyl sessions),daft pretty boys (ourvinyl sessions)
bad suns,we move like the ocean,we move like the ocean
bad suns,unstable,unstable
bad suns,transpose,transpose
bad suns,sleep paralysis,sleep paralysis
bad suns,matthew james,matthew james
bad wolves,zombie,zombie
bag raiders,way back home,way back home
bag raiders,shooting stars,shooting stars
bahamas,lost in the light,lost in the light
balanescu quartet,computer love,computer love
balkan bump,give me something to funk,give me something to funk
ballyhoo,last night,last night
balmorhea,truth (helios remix),truth (helios remix)
balmorhea,heir i,heir i
bananarama,venus,venus
band of horses,electric music,electric music
banda la trakalosa,san lunes,san lunes
banda la trakalosa,ingratos ojos mios (feat. cirilo luna),ingratos ojos mios (feat. cirilo luna)
banda la trakalosa,un par de cerdos,un par de cerdos
banda los recoditos,me sobrabas tu,me sobrabas tu
banda los recoditos,cuando te entregues a el,cuando te entregues a el
banda sinaloense ms de sergio lizarraga,mi razon de ser,mi razon de ser
banda sinaloense ms de sergio lizarraga,en preparacion,en preparacion
banda sinaloense ms de sergio lizarraga,mi mayor anhelo,mi mayor anhelo
banda sinaloense ms de sergio lizarraga,de ti enamorado,de ti enamorado
banda sinaloense ms de sergio lizarraga,ni las moscas se te paran,ni las moscas se te paran
banda sinaloense ms de sergio lizarraga,hablame de ti,hablame de ti
banda sinaloense ms de sergio lizarraga,valiendo madre,valiendo madre
banda tierra sagrada,anestesiado,anestesiado
banda tierra sagrada,la buena y la mala,la buena y la mala
bang camaro,cant stop the night,cant stop the night
bang camaro,swallow the razor,swallow the razor
bang camaro,push push (lady lightning),push push (lady lightning)
bang camaro,shes gone (critical),shes gone (critical)
bang camaro,pleasure (pleasure),pleasure (pleasure)
bang camaro,blood red rock,blood red rock
bankroll mafia,hyenas,hyenas
barenaked ladies,one week,one week
barry manilow,looks like we made it,looks like we made it
bart baker,second look (original version) feat. lada redstar lndsr,second look (original version) feat. lada redstar lndsr
bart baker,second look (dj mibor remix) feat. lada redstar lndsr,second look (dj mibor remix) feat. lada redstar lndsr
bart baker,mettez-vous dans lambiance (feat. christophe avril),mettez-vous dans lambiance (feat. christophe avril)
basement,promise everything,promise everything
basshunter,dota,dota
basshunter,all i ever wanted,all i ever wanted
bat for lashes,laura,laura
bayside,sick sick sick,sick sick sick
bea miller,this is not an apology,this is not an apology
beach avenue,coming your way,coming your way
bear ghost,necromancin dancin,necromancin dancin
bear hands,moment of silence,moment of silence
bear hands,giants,giants
bear hands,agora,agora
bears den,the love we stole,the love we stole
beartooth,in between,in between
beastie boys,so whatcha want - remastered 2009,so whatcha want - remastered 2009
beastie boys,sabotage - 2009 digital remaster,sabotage - 2009 digital remaster
beastie boys,no sleep till brooklyn,no sleep till brooklyn
beastie boys,sabotage - remastered 2009,sabotage
beastie boys,sabotage,sabotage
beastie boys,intergalactic - 2009 digital remaster,intergalactic - 2009 digital remaster
beastie boys,brass monkey,brass monkey
beastie boys,fight for your right,fight for your right
beastie boys,intergalactic - remastered,intergalactic - remastered
beastie boys,gratitude - 2009 digital remaster,gratitude - 2009 digital remaster
beastie boys,so whatcha want - 2009 digital remaster,so whatcha want - 2009 digital remaster
beck,e-pro,e-pro
beck,loser,loser
becky g,lovin so hard,lovin so hard
bee gees,you should be dancing (remastered album version),you should be dancing
bee gees,stayin alive,stayin alive
bee gees,stayin alive - from saturday night fever soundtrack,stayin alive - from saturday night fever soundtrack
bee gees,you should be dancing - edit,you should be dancing
bee gees,you should be dancing,you should be dancing
bee gees,stayin alive - remastered version,stayin alive
bee gees,stayin alive (remastered album version),stayin alive
belinda carlisle,heaven is a place on earth,heaven is a place on earth
bell biv devoe,poison,poison
ben howard,she treats me well,she treats me well
benny benassi,cinema (skrillex remix),cinema (skrillex remix)
benny goodman,sing sing sing,sing sing sing
benny goodman,you brought a new kind of love to me (instrumental) instrumental version,you brought a new kind of love to me (instrumental) instrumental version
benny goran bror andersson,dancing queen,dancing queen
berlin,pleasure victim,pleasure victim
better than ezra,a lifetime,a lifetime
betty who,somebody loves you,somebody loves you
betty who,glory days,glory days
between the buried and me,selkies: the endless obsession,selkies: the endless obsession
between the buried and me,prequel to the sequel,prequel to the sequel
between the trees,the way she feels,the way she feels
beyonce,crazy in love,crazy in love
beyonce,irreplaceable,irreplaceable
beyonce,crazy in love (feat. jay-z),crazy in love
beyonce,drunk in love,drunk in love
biboulakis,is that too much to ask (feat. nina zeitlin),is that too much to ask
biboulakis,if only alarms didnt ring - feat. nina zeitlin,if only alarms didnt ring - feat. nina zeitlin
biboulakis,is that too much to ask,is that too much to ask
big bad voodoo daddy,minnie the moocher,minnie the moocher
big bad voodoo daddy,go daddy-o,go daddy-o
big bad voodoo daddy,how big can you get,how big can you get
big boy,mis ojos lloran por ti,mis ojos lloran por ti
big k.r.i.t.,cadillactica,cadillactica
big scary,invest,invest
big sean,beware,beware
big sean,paradise,paradise
big time rush,music sounds better with u,music sounds better with u
bill haley his comets,shake rattle and roll - single version,shake rattle and roll - single version
bill lee,edelweiss,edelweiss
bill withers,lovely day,lovely day
bill withers,aint no sunshine,aint no sunshine
billie eilish,bad guy,bad guy
billie eilish,ocean eyes,ocean eyes
billie eilish,bad guy (with justin bieber),bad guy (with justin bieber)
billy idol,white wedding - pt. 1,white wedding - pt. 1
billy idol,white wedding - part 1 - 2001- remaster,white wedding - pt. 1
billy idol,rebel yell - remastered,rebel yell - remastered
billy idol,rebel yell - 1999 - remaster,rebel yell - 1999 - remaster
billy idol,cant break me down,cant break me down
billy idol,dancing with myself - 2001 digital remaster,dancing with myself - 2001 digital remaster
billy joel,uptown girl,uptown girl
billy joel,its still rock and roll to me,its still rock and roll to me
billy joel,we didnt start the fire,we didnt start the fire
billy joel,big shot,big shot
billy joel,piano man,piano man
billy squier,the stroke - 2010 - remaster,the stroke - 2010 - remaster
billy talent,try honesty,try honesty
billy talent,show me the way,show me the way
biting elbows,bad motherfucker,bad motherfucker
biz markie,just a friend,just a friend
black eyed peas,lets get retarded,lets get retarded
black eyed peas,boom boom pow,boom boom pow
black eyed peas,just cant get enough,just cant get enough
black eyed peas,lets get it started - spike mix,lets get it started - spike mix
black eyed peas,pump it,pump it
black eyed peas,i gotta feeling,i gotta feeling
black eyed peas,where is the love,where is the love
black light burns,stop a bullet,stop a bullet
black sabbath,war pigs,war pigs
black sabbath,war pigs/lukes wall - remastered version,war pigs/lukes wall - remastered version
black sabbath,paranoid - 2016 remaster,paranoid
black sabbath,war pigs / lukes wall - 2014 remaster,war pigs
black sabbath,paranoid - remastered version,paranoid - remastered version
black sabbath,paranoid,paranoid
black tide,shockwave,shockwave
black tide,warriors of time,warriors of time
black veil brides,in the end,in the end
black veil brides,we dont belong,we dont belong
blackbear,do re mi,do re mi
blanks,better now,better now
blind melon,no rain - remastered 2002,no rain - remastered 2002
blind melon,no rain - 2002 - remastered,no rain - 2002 - remastered
bloc party,helicopter,helicopter
blonde,i loved you (feat. melissa steel),i loved you (feat. melissa steel)
blondie,one way or another - 2001 - remaster,one way or another
blondie,the tide is high - edit,the tide is high
blondie,my monster,my monster
blondie,the tide is high,the tide is high
blondie,already naked,already naked
blondie,heart of glass - special mix,heart of glass
blondie,heart of glass,heart of glass
blondie,one way or another,one way or another
blondie,when i gave up on you,when i gave up on you
blondie,call me,call me
blondie,rapture,rapture
blossom dearie,i wont dance,i wont dance
blowsight,if you were me,if you were me
blowsight,bus girl,bus girl
blowsight,how i get what i deserve,how i get what i deserve
blue october,into the ocean,into the ocean
blue swede,hooked on a feeling,hooked on a feeling
blue oyster cult,godzilla,godzilla
blue oyster cult,(dont fear) the reaper,(dont fear) the reaper
blue oyster cult,burnin for you,burnin for you
blue oyster cult,cities on flame with rock and roll,cities on flame with rock and roll
blueface,thotiana,thotiana
bluejuice,broken leg,broken leg
blues traveler,hook,hook
blur,song 2,song 2
bob marley the wailers,one love/people get ready,one love/people get ready
bob marley the wailers,three little birds,three little birds
bob marley the wailers,redemption song,redemption song
bob marley the wailers,i shot the sheriff,i shot the sheriff
bobaflex,bury me with my guns,bury me with my guns
bobby darin,splish splash,splish splash
bobby darin,beyond the sea,beyond the sea
bobby darin,mack the knife,mack the knife
bobby darin,artificial flowers,artificial flowers
bobby day,rockin robin,rockin robin
bobby mcferrin,dont worry be happy,dont worry be happy
body language,falling out,falling out
bombay bicycle club,always like this,always like this
bon iver,marion,marion
bon iver,faith,faith
bon jovi,wanted dead or alive,wanted dead or alive
bon jovi,you give love a bad name,you give love a bad name
bon jovi,livin on a prayer,livin on a prayer
bonnie tyler,holding out for a hero - from footloose soundtrack,holding out for a hero - from footloose soundtrack
bonnie tyler,total eclipse of the heart,total eclipse of the heart
bonobo,flashlight,flashlight
born ruffians,needle,needle
boston,let me take you home tonight,let me take you home tonight
boston,foreplay / long time,foreplay/long time
boston,rock roll band,rock roll band
boston,more than a feeling,more than a feeling
boston,peace of mind,peace of mind
boston,foreplay/long time,foreplay/long time
boston,something about you,something about you
boston,smokin,smokin
boston,hitch a ride,hitch a ride
bowling for soup,hrsa,hrsa
bowling for soup,1985,1985
bowling for soup,stacys mom,stacys mom
bowling for soup,almost,almost
bowling for soup,high school never ends - main version - explicit,high school never ends - main version - explicit
bowling for soup,i melt with you,i melt with you
box car racer,there is,there is
box car racer,and i,and i
box car racer,i feel so,i feel so
boy bear,fall at your feet,fall at your feet
boyce avenue,leave out all the rest - bonus track,leave out all the rest - bonus track
boyce avenue,no one tattoo,no one tattoo
boyce avenue,lovestoned,lovestoned
boyce avenue,without you here,without you here
boyce avenue,before its too late,before its too late
boyce avenue,so small,so small
boyce avenue,say,say
boyce avenue,beautiful girls stand by me,beautiful girls stand by me
boyce avenue,iris (2008),iris (2008)
boyce avenue,with you,with you
boyce avenue,mirrors (feat. fifth harmony),mirrors (feat. fifth harmony)
boyce avenue,breakeven (falling to pieces),breakeven (falling to pieces)
boyce avenue,shadow of the day,shadow of the day
boys like girls,shes got a boyfriend now,shes got a boyfriend now
boys like girls,on top of the world,on top of the world
boys like girls,the great escape,the great escape
boys like girls,learning to fall,learning to fall
boys like girls,five minutes to midnight,five minutes to midnight
boys like girls,hero/heroine,hero/heroine
boys like girls,heels over head,heels over head
boys like girls,love drunk,love drunk
brad kane,one jump ahead (reprise) - from aladdin/soundtrack version,one jump ahead (reprise) - from aladdin/soundtrack version
brad paisley,im gonna miss her,im gonna miss her
brad sucks,making me nervous,making me nervous
branches,i believe in a thing called love,i believe in a thing called love
breakbot,baby im yours,baby im yours
breaking benjamin,the diary of jane,the diary of jane
breathe electric,electronic lover,electronic lover
breathe electric,lovestruck,lovestruck
breathe electric,never gonna give you up,never gonna give you up
brian tyler,timeline,timeline
brian tyler,eagle eye end title,eagle eye end title
brian tyler,dive bombers,dive bombers
brian tyler,heat and iron,heat and iron
brian tyler,rebalance,rebalance
bridgit mendler,ready or not,ready or not
bright eyes,lua,lua
bright eyes,first day of my life,first day of my life
britney spears,phonography,phonography
britney spears,mmm papi,mmm papi
britney spears,gimme more,gimme more
britney spears,lucky,lucky
britney spears,if u seek amy,if u seek amy
britney spears,unusual you,unusual you
broadside,coffee talk,coffee talk
broken bells,the mall misery,the mall misery
broken social scene,7/4 (shoreline),7/4 (shoreline)
bromheads jacket,fight music for the fight,fight music for the fight
broods,taking you there,taking you there
broods,l.a.f,l.a.f
bruce adler,arabian nights - from aladdin/soundtrack version,arabian nights - from aladdin/soundtrack version
bruno mars,just the way you are,just the way you are
bruno mars,the lazy song,the lazy song
bruno mars,grenade - acoustic,grenade
bruno mars,runaway baby,runaway baby
bruno mars,treasure,treasure
bruno mars,locked out of heaven,locked out of heaven
bruno mars,grenade,grenade
bryan adams,summer of 69,summer of 69
buckcherry,crazy bitch,crazy bitch
buddy greco,like young,like young
buddy holly,peggy sue,peggy sue
buddy holly,everyday,everyday
buddy holly,thatll be the day,thatll be the day
buddy holly,oh boy - overdubbed version,oh boy - overdubbed version
