"address","city","state","zipcode","AUTO_UNIQUE_ID_2019-08-10_cegarza_zerozip","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"3710 Mallard Drive Mission Tx","Mission","TX","78572",12,"USCGeocoder",250.0021,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"510 Castillos Y Diamantes St","Mission","TX","78572",13,"USCGeocoder",156.1451,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"500 S Paseo Del Rey St","Mission","TX","78572",14,"USCGeocoder",328.1233,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"3505 Oriole Dr","Mission","TX","78572",15,"USCGeocoder",125.0085,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"600 S Castillos Y Diamantes Mission Tx","Mission","TX","78572",16,"USCGeocoder",218.7448,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"3507 Oriole Dr","Mission","TX","78572",17,"USCGeocoder",125.0226,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"810 Bluebird","Pharr","TX","78577",18,"USCGeocoder",93.7119,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","602.833372235298","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2272769709241,-98.1896956699533,"Relaxed"
"8604 S Estrella St","Pharr","TX","78577",19,"USCGeocoder",171.7865,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","557.372562870383","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1149957622261,-98.211101194787,"Relaxed"
"805 W Arapaho Ave","Pharr","TX","78577",20,"USCGeocoder",187.4887,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2508.56947709335","LinearInterpolationAddressRange","StreetSegment","94.9704142011834","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2398133703725,-98.1677094169315,"Relaxed"
"512 Hunee Dr","San Juan","TX","78589",21,"USCGeocoder",281.219,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","53855322.6584207","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.1678512763958,-98.1548374938667,"Relaxed;Soundex"
"2416 Baylor Ave","Mcallen","TX","78504",22,"USCGeocoder",406.2186,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5024 Escondido Pass","Mcallen","TX","78504",23,"USCGeocoder",296.887,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"4604 Ensenada Ave","Mcallen","TX","78504",24,"USCGeocoder",187.4281,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5708 Pelican Ave","Mcallen","TX","78504",25,"USCGeocoder",171.8544,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5216 Escondido Pass","Mcallen","TX","78504",26,"USCGeocoder",46.8985,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5125 Maple Ave","Mcallen","TX","78504",27,"USCGeocoder",265.6719,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"1020 E Upas Ave","Mcallen","TX","78504",28,"USCGeocoder",187.5102,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5324 Escondido Pass","Mcallen","TX","78504",29,"USCGeocoder",78.0605,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5305 River Rd","Mcallen","TX","78504",30,"USCGeocoder",140.5977,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5904 Pelican Ave","Mcallen","TX","78504",31,"USCGeocoder",203.0967,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5349 Escondido Pass","Mcallen","TX","78504",32,"USCGeocoder",156.2337,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"5908 Pelican Ave","Mcallen","TX","78504",33,"USCGeocoder",171.807,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","45796472.1801403","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2719677185657,-98.236571201499,"Relaxed;Soundex"
"8010 N 23rd Ln","Mcallen","TX","78504",34,"USCGeocoder",234.3722,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","918.037009858992","LinearInterpolationAddressRange","StreetSegment","94.0828402366864","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2754652520522,-98.2334325388533,"Relaxed"
"813 W Cheyenne Ave","Pharr","TX","78577",35,"USCGeocoder",187.4947,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2479.3372443344","LinearInterpolationAddressRange","StreetSegment","95.8579881656805","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2411535336181,-98.1674169686989,"Relaxed"
"2304 S Dominique Dr","Pharr","TX","78577",36,"USCGeocoder",93.765,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","82508852.7319837","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.1506138430391,-98.1910396419237,"Relaxed;Soundex"
"907 W Cheyenne Ave","Pharr","TX","78577",37,"USCGeocoder",125.0195,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2479.3372443344","LinearInterpolationAddressRange","StreetSegment","95.8579881656805","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2410997686428,-98.1669091609963,"Relaxed"
"1661 W Canal Ln","Pharr","TX","78577",38,"USCGeocoder",265.655,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","82508852.7319837","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.1506138430391,-98.1910396419237,"Relaxed;Soundex"
"8627 Quietud St","Edinburg","TX","78542",39,"USCGeocoder",93.7513,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2123.27438827115","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.3825549802139,-98.1099159402152,"Exact"
"2402 Penrose Ave","Edinburg","TX","78539",40,"USCGeocoder",326.9774,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","34207319.2678001","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2791879820423,-98.1832093269824,"Relaxed;Soundex"
"3525 Rancho Del Rey","Edinburg","TX","78542",41,"USCGeocoder",249.9772,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3257.20822643937","LinearInterpolationAddressRange","StreetSegment","94.6745562130178","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.3193233383582,-98.1208617755121,"Relaxed;Soundex"
"2313 Vancouver Ave","Edinburg","TX","78539",42,"USCGeocoder",250.0016,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","34207319.2678001","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2791879820423,-98.1832093269824,"Relaxed;Soundex"
"1407 Strawberry Hill St","Edinburg","TX","78541",43,"USCGeocoder",187.4997,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","750202171.433438","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.4480818174924,-98.2842329529608,"Relaxed;Soundex"
"Lot 26","Edinburg","TX","0",44,"USCGeocoder",93.6976,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_USPS_ZIP_CODE","Meters","ArealInterpolation","97625793.7812434","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",26.315584100867,-98.1637136872035,"Relaxed;Soundex"
"2608 Wolverine St","Edinburg","TX","78542",45,"USCGeocoder",171.8471,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","440205853.621092","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.4519957109194,-98.0843110434917,"Relaxed;Soundex"
"Lot 20","Edinburg","TX","0",46,"USCGeocoder",31.2459,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_USPS_ZIP_CODE","Meters","ArealInterpolation","97625793.7812434","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",26.315584100867,-98.1637136872035,"Relaxed;Soundex"
"1624 Saint Claire Ave","Edinburg","TX","78539",47,"USCGeocoder",187.4985,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","34207319.2678001","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2791879820423,-98.1832093269824,"Relaxed;Soundex"
"2912 Bobcat Ave","Edinburg","TX","78542",48,"USCGeocoder",203.0997,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","440205853.621092","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.4519957109194,-98.0843110434917,"Relaxed;Soundex"
"3623 Ebro Dr","Edinburg","TX","78539",49,"USCGeocoder",140.6373,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","34207319.2678001","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2791879820423,-98.1832093269824,"Relaxed;Soundex"
"1706 Saint Claire Ave","Edinburg","TX","78539",50,"USCGeocoder",234.4668,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","34207319.2678001","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2791879820423,-98.1832093269824,"Relaxed;Soundex"
"1406 Chapel Hill Dr","Edinburg","TX","78541",51,"USCGeocoder",312.4856,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","750202171.433438","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.4480818174924,-98.2842329529608,"Relaxed;Soundex"
"1371 Shania Twain Dr","Edinburg","TX","78541",52,"USCGeocoder",203.1374,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","750202171.433438","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.4480818174924,-98.2842329529608,"Relaxed;Soundex"
"2706 Nessuh Ave","Edinburg","TX","78541",53,"USCGeocoder",249.9899,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3689.0977819456","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.3349627124595,-98.1955613328768,"Relaxed"
"5208 Lost Creek Ln","Edinburg","TX","78541",54,"USCGeocoder",281.2436,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","750202171.433438","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.4480818174924,-98.2842329529608,"Relaxed;Soundex"
